C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-R_RB_Control-87-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Control,87,1,,1,270,,1,4378
SP-R_RB_Control,87,1,,2,270,,1,1524
SP-R_RB_Control,87,1,,3,270,,1,2584
SP-R_RB_Control,87,1,,4,270,,1,1200
SP-R_RB_Control,87,1,,5,270,,1,3023
SP-R_RB_Control,87,1,,6,270,,1,1013
SP-R_RB_Control,87,1,,7,130,,1,1158
SP-R_RB_Control,87,1,,8,270,,1,816
SP-R_RB_Control,87,1,,9,130,,1,902
SP-R_RB_Control,87,1,,10,130,,1,619
SP-R_RB_Control,87,1,,11,130,,1,628
SP-R_RB_Control,87,1,,12,130,,1,645
SP-R_RB_Control,87,1,,13,270,,1,787
SP-R_RB_Control,87,1,,14,130,,1,744
SP-R_RB_Control,87,1,,15,130,,1,548
SP-R_RB_Control,87,1,,16,270,,1,462
SP-R_RB_Control,87,1,,17,130,,1,597
SP-R_RB_Control,87,1,,18,130,,1,690
SP-R_RB_Control,87,1,,19,270,,1,491
SP-R_RB_Control,87,1,,20,130,,1,425
SP-R_RB_Control,87,2,,1,100,,0,1457
SP-R_RB_Control,87,2,,2,140,,0,1039
SP-R_RB_Control,87,2,,3,110,,0,800
SP-R_RB_Control,87,2,,4,240,,1,624
SP-R_RB_Control,87,2,,5,150,,0,522
SP-R_RB_Control,87,2,,6,160,,0,515
SP-R_RB_Control,87,2,,7,130,,0,453
SP-R_RB_Control,87,2,,8,100,,0,423
SP-R_RB_Control,87,2,,9,240,,1,479
SP-R_RB_Control,87,2,,10,130,,0,540
SP-R_RB_Control,87,2,,11,230,,1,685
SP-R_RB_Control,87,2,,12,70,,0,769
SP-R_RB_Control,87,2,,13,160,,0,1267
SP-R_RB_Control,87,2,,14,230,,1,876
SP-R_RB_Control,87,2,,15,80,,0,361
SP-R_RB_Control,87,2,,16,200,,1,507
SP-R_RB_Control,87,2,,17,190,,0,2194
SP-R_RB_Control,87,2,,18,180,,0,421
SP-R_RB_Control,87,2,,19,220,,1,2276
SP-R_RB_Control,87,2,,20,190,,0,1031
SP-R_RB_Control,87,2,,21,170,,0,773
SP-R_RB_Control,87,2,,22,150,,0,530
SP-R_RB_Control,87,2,,23,140,,0,398
SP-R_RB_Control,87,2,,24,220,,1,628
SP-R_RB_Control,87,2,,25,90,,0,520
SP-R_RB_Control,87,2,,26,200,,1,700
SP-R_RB_Control,87,2,,27,120,,0,528
SP-R_RB_Control,87,2,,28,210,,1,3255
SP-R_RB_Control,87,2,,29,60,,0,459
SP-R_RB_Control,87,2,,30,180,,0,969
SP-R_RB_Control,87,2,,31,70,,0,550
SP-R_RB_Control,87,2,,32,210,,1,625
SP-R_RB_Control,87,2,,33,170,,0,805
SP-R_RB_Control,87,2,,34,60,,0,618
SP-R_RB_Control,87,2,,35,110,,0,429
SP-R_RB_Control,87,2,,36,120,,0,524
SP-R_RB_Control,87,2,,37,80,,0,503
SP-R_RB_Control,87,2,,38,90,,0,325
SP-R_RB_Control,87,3,227.bmp,,,,,
SP-R_RB_Control,87,4,,1,284,,1,3556
SP-R_RB_Control,87,4,,2,273,,1,1956
SP-R_RB_Control,87,4,,3,90,,0,1175
SP-R_RB_Control,87,4,,4,248,,1,853
SP-R_RB_Control,87,4,,5,270,,1,896
SP-R_RB_Control,87,4,,6,115,,0,1157
SP-R_RB_Control,87,4,,7,11,,0,956
SP-R_RB_Control,87,4,,8,268,,1,3475
SP-R_RB_Control,87,4,,9,216,,1,1488
SP-R_RB_Control,87,4,,10,131,,0,6246
SP-R_RB_Control,87,4,,11,246,,1,1658
SP-R_RB_Control,87,4,,12,294,,1,826
SP-R_RB_Control,87,4,,13,58,,0,633
SP-R_RB_Control,87,4,,14,208,,1,2201
SP-R_RB_Control,87,4,,15,164,,0,1284
SP-R_RB_Control,87,4,,16,85,,0,857
SP-R_RB_Control,87,4,,17,271,,1,1179
SP-R_RB_Control,87,4,,18,239,,1,2900
SP-R_RB_Control,87,4,,19,247,,0,1088
SP-R_RB_Control,87,4,,20,283,,1,1075
SP-R_RB_Control,87,4,,21,163,,0,1137
SP-R_RB_Control,87,4,,22,116,,0,1305
SP-R_RB_Control,87,4,,23,139,,0,1155
SP-R_RB_Control,87,4,,24,53,,0,846
SP-R_RB_Control,87,4,,25,290,,1,1337
SP-R_RB_Control,87,4,,26,18,,0,1029
SP-R_RB_Control,87,4,,27,14,,0,1554
SP-R_RB_Control,87,4,,28,29,,0,1747
SP-R_RB_Control,87,4,,29,209,,1,1257
SP-R_RB_Control,87,4,,30,126,,0,1210
SP-R_RB_Control,87,4,,31,13,,0,900
SP-R_RB_Control,87,4,,32,298,,1,637
SP-R_RB_Control,87,4,,33,113,,0,4274
SP-R_RB_Control,87,4,,34,207,,1,1086
SP-R_RB_Control,87,4,,35,262,,1,1203
SP-R_RB_Control,87,4,,36,99,,0,707
SP-R_RB_Control,87,4,,37,84,,0,746
SP-R_RB_Control,87,4,,38,193,,0,1343
SP-R_RB_Control,87,4,,39,104,,0,688
SP-R_RB_Control,87,4,,40,265,,1,849
SP-R_RB_Control,87,4,,41,194,,0,1675
SP-R_RB_Control,87,4,,42,272,,1,893
SP-R_RB_Control,87,4,,43,0,,0,2676
SP-R_RB_Control,87,4,,44,168,,0,1703
SP-R_RB_Control,87,4,,45,223,,0,1041
SP-R_RB_Control,87,4,,46,49,,0,889
SP-R_RB_Control,87,4,,47,227,,1,838
SP-R_RB_Control,87,4,,48,197,,0,1291
SP-R_RB_Control,87,4,,49,297,,1,526
SP-R_RB_Control,87,4,,50,214,,1,2407
SP-R_RB_Control,87,4,,51,121,,0,1013
SP-R_RB_Control,87,4,,52,24,,0,694
SP-R_RB_Control,87,4,,53,129,,0,902
SP-R_RB_Control,87,4,,54,213,,0,1517
SP-R_RB_Control,87,4,,55,269,,1,710
SP-R_RB_Control,87,4,,56,65,,0,678
SP-R_RB_Control,87,4,,57,76,,0,701
SP-R_RB_Control,87,4,,58,279,,1,901
SP-R_RB_Control,87,4,,59,83,,0,846
SP-R_RB_Control,87,4,,60,34,,0,3708
SP-R_RB_Control,87,4,,61,145,,0,802
SP-R_RB_Control,87,4,,62,66,,0,702
SP-R_RB_Control,87,4,,63,177,,0,833
SP-R_RB_Control,87,4,,64,97,,0,572
SP-R_RB_Control,87,4,,65,28,,0,487
