C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_RB_Dead-14-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Dead,14,1,,1,270,,0,6185
SP-R_RB_Dead,14,1,,2,270,,1,1704
SP-R_RB_Dead,14,1,,3,270,,0,2425
SP-R_RB_Dead,14,1,,4,130,,1,3700
SP-R_RB_Dead,14,1,,5,270,,1,993
SP-R_RB_Dead,14,1,,6,270,,1,868
SP-R_RB_Dead,14,1,,7,130,,1,967
SP-R_RB_Dead,14,1,,8,270,,1,637
SP-R_RB_Dead,14,1,,9,270,,1,815
SP-R_RB_Dead,14,1,,10,130,,1,659
SP-R_RB_Dead,14,1,,11,270,,1,568
SP-R_RB_Dead,14,1,,12,270,,1,604
SP-R_RB_Dead,14,1,,13,130,,1,750
SP-R_RB_Dead,14,1,,14,130,,1,891
SP-R_RB_Dead,14,1,,15,130,,1,580
SP-R_RB_Dead,14,1,,16,130,,1,384
SP-R_RB_Dead,14,1,,17,130,,1,366
SP-R_RB_Dead,14,1,,18,130,,1,346
SP-R_RB_Dead,14,1,,19,130,,1,429
SP-R_RB_Dead,14,1,,20,270,,1,623
SP-R_RB_Dead,14,2,,1,190,,0,2581
SP-R_RB_Dead,14,2,,2,70,,0,1333
SP-R_RB_Dead,14,2,,3,110,,0,1515
SP-R_RB_Dead,14,2,,4,240,,1,606
SP-R_RB_Dead,14,2,,5,170,,1,1208
SP-R_RB_Dead,14,2,,6,150,,1,593
SP-R_RB_Dead,14,2,,7,230,,1,909
SP-R_RB_Dead,14,2,,8,230,,1,590
SP-R_RB_Dead,14,2,,9,180,,0,2485
SP-R_RB_Dead,14,2,,10,240,,1,635
SP-R_RB_Dead,14,2,,11,140,,0,673
SP-R_RB_Dead,14,2,,12,100,,0,814
SP-R_RB_Dead,14,2,,13,150,,0,4527
SP-R_RB_Dead,14,2,,14,90,,0,819
SP-R_RB_Dead,14,2,,15,160,,0,1374
SP-R_RB_Dead,14,2,,16,130,,0,600
SP-R_RB_Dead,14,2,,17,200,,1,1571
SP-R_RB_Dead,14,2,,18,100,,0,643
SP-R_RB_Dead,14,2,,19,110,,0,480
SP-R_RB_Dead,14,2,,20,220,,1,566
SP-R_RB_Dead,14,2,,21,80,,0,2123
SP-R_RB_Dead,14,2,,22,60,,0,449
SP-R_RB_Dead,14,2,,23,170,,1,818
SP-R_RB_Dead,14,2,,24,220,,1,647
SP-R_RB_Dead,14,2,,25,120,,0,796
SP-R_RB_Dead,14,2,,26,80,,0,531
SP-R_RB_Dead,14,2,,27,120,,0,511
SP-R_RB_Dead,14,2,,28,160,,1,1227
SP-R_RB_Dead,14,2,,29,210,,1,530
SP-R_RB_Dead,14,2,,30,130,,0,688
SP-R_RB_Dead,14,2,,31,200,,1,597
SP-R_RB_Dead,14,2,,32,210,,1,447
SP-R_RB_Dead,14,2,,33,60,,0,529
SP-R_RB_Dead,14,2,,34,140,,0,810
SP-R_RB_Dead,14,2,,35,90,,0,410
SP-R_RB_Dead,14,2,,36,70,,0,430
SP-R_RB_Dead,14,2,,37,190,,1,598
SP-R_RB_Dead,14,2,,38,180,,1,639
SP-R_RB_Dead,14,3,199.bmp,,,,,
SP-R_RB_Dead,14,4,,1,213,,1,3153
SP-R_RB_Dead,14,4,,2,252,,1,918
SP-R_RB_Dead,14,4,,3,264,,1,770
SP-R_RB_Dead,14,4,,4,266,,1,983
SP-R_RB_Dead,14,4,,5,297,,1,1246
SP-R_RB_Dead,14,4,,6,73,,0,1169
SP-R_RB_Dead,14,4,,7,68,,0,1163
SP-R_RB_Dead,14,4,,8,104,,0,1395
SP-R_RB_Dead,14,4,,9,49,,0,474
SP-R_RB_Dead,14,4,,10,248,,1,845
SP-R_RB_Dead,14,4,,11,37,,0,861
SP-R_RB_Dead,14,4,,12,24,,0,565
SP-R_RB_Dead,14,4,,13,286,,1,671
SP-R_RB_Dead,14,4,,14,64,,0,473
SP-R_RB_Dead,14,4,,15,251,,1,597
SP-R_RB_Dead,14,4,,16,288,,1,599
SP-R_RB_Dead,14,4,,17,11,,0,728
SP-R_RB_Dead,14,4,,18,283,,1,797
SP-R_RB_Dead,14,4,,19,134,,0,792
SP-R_RB_Dead,14,4,,20,194,,0,1112
SP-R_RB_Dead,14,4,,21,151,,0,656
SP-R_RB_Dead,14,4,,22,51,,0,1279
SP-R_RB_Dead,14,4,,23,253,,1,646
SP-R_RB_Dead,14,4,,24,209,,0,1006
SP-R_RB_Dead,14,4,,25,16,,0,1836
SP-R_RB_Dead,14,4,,26,136,,1,1357
SP-R_RB_Dead,14,4,,27,18,,0,666
SP-R_RB_Dead,14,4,,28,270,,1,837
SP-R_RB_Dead,14,4,,29,148,,0,2633
SP-R_RB_Dead,14,4,,30,14,,0,596
SP-R_RB_Dead,14,4,,31,140,,0,1989
SP-R_RB_Dead,14,4,,32,290,,1,724
SP-R_RB_Dead,14,4,,33,23,,0,564
SP-R_RB_Dead,14,4,,34,87,,0,893
SP-R_RB_Dead,14,4,,35,120,,0,506
SP-R_RB_Dead,14,4,,36,280,,1,715
SP-R_RB_Dead,14,4,,37,174,,0,703
SP-R_RB_Dead,14,4,,38,107,,0,541
SP-R_RB_Dead,14,4,,39,106,,0,809
SP-R_RB_Dead,14,4,,40,250,,1,1639
SP-R_RB_Dead,14,4,,41,102,,0,454
SP-R_RB_Dead,14,4,,42,91,,0,722
SP-R_RB_Dead,14,4,,43,188,,1,1821
SP-R_RB_Dead,14,4,,44,175,,1,720
SP-R_RB_Dead,14,4,,45,269,,1,888
SP-R_RB_Dead,14,4,,46,52,,0,524
SP-R_RB_Dead,14,4,,47,112,,0,464
SP-R_RB_Dead,14,4,,48,184,,1,1131
SP-R_RB_Dead,14,4,,49,265,,1,805
SP-R_RB_Dead,14,4,,50,220,,1,572
SP-R_RB_Dead,14,4,,51,116,,0,1184
SP-R_RB_Dead,14,4,,52,284,,1,635
SP-R_RB_Dead,14,4,,53,235,,1,688
SP-R_RB_Dead,14,4,,54,79,,0,826
SP-R_RB_Dead,14,4,,55,185,,1,1027
SP-R_RB_Dead,14,4,,56,139,,0,803
SP-R_RB_Dead,14,4,,57,33,,0,810
SP-R_RB_Dead,14,4,,58,294,,1,870
SP-R_RB_Dead,14,4,,59,298,,1,826
SP-R_RB_Dead,14,4,,60,278,,1,729
SP-R_RB_Dead,14,4,,61,233,,1,674
SP-R_RB_Dead,14,4,,62,239,,1,429
SP-R_RB_Dead,14,4,,63,46,,0,728
SP-R_RB_Dead,14,4,,64,271,,1,745
SP-R_RB_Dead,14,4,,65,289,,1,609
SP-R_RB_Dead,14,4,,66,179,,1,1090
