C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_RB_Far-32-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Far,32,1,,1,270,,0,12013
SP-R_RB_Far,32,1,,2,130,,1,6074
SP-R_RB_Far,32,1,,3,270,,1,3936
SP-R_RB_Far,32,1,,4,270,,1,1785
SP-R_RB_Far,32,1,,5,130,,1,1875
SP-R_RB_Far,32,1,,6,130,,1,1198
SP-R_RB_Far,32,1,,7,130,,1,899
SP-R_RB_Far,32,1,,8,130,,1,1041
SP-R_RB_Far,32,1,,9,130,,1,973
SP-R_RB_Far,32,1,,10,270,,1,713
SP-R_RB_Far,32,1,,11,270,,1,588
SP-R_RB_Far,32,1,,12,270,,1,549
SP-R_RB_Far,32,1,,13,270,,1,941
SP-R_RB_Far,32,1,,14,130,,1,770
SP-R_RB_Far,32,1,,15,270,,1,1805
SP-R_RB_Far,32,1,,16,130,,1,644
SP-R_RB_Far,32,1,,17,270,,1,672
SP-R_RB_Far,32,1,,18,270,,1,792
SP-R_RB_Far,32,1,,19,130,,1,786
SP-R_RB_Far,32,1,,20,130,,1,887
SP-R_RB_Far,32,2,,1,160,,0,2590
SP-R_RB_Far,32,2,,2,60,,0,1421
SP-R_RB_Far,32,2,,3,80,,0,963
SP-R_RB_Far,32,2,,4,100,,0,966
SP-R_RB_Far,32,2,,5,70,,0,932
SP-R_RB_Far,32,2,,6,100,,0,1176
SP-R_RB_Far,32,2,,7,140,,0,723
SP-R_RB_Far,32,2,,8,200,,1,1456
SP-R_RB_Far,32,2,,9,190,,1,717
SP-R_RB_Far,32,2,,10,180,,1,1516
SP-R_RB_Far,32,2,,11,210,,1,2146
SP-R_RB_Far,32,2,,12,210,,1,666
SP-R_RB_Far,32,2,,13,130,,0,598
SP-R_RB_Far,32,2,,14,90,,0,727
SP-R_RB_Far,32,2,,15,230,,1,598
SP-R_RB_Far,32,2,,16,60,,0,702
SP-R_RB_Far,32,2,,17,230,,1,556
SP-R_RB_Far,32,2,,18,170,,0,1329
SP-R_RB_Far,32,2,,19,110,,0,564
SP-R_RB_Far,32,2,,20,150,,0,566
SP-R_RB_Far,32,2,,21,200,,0,2822
SP-R_RB_Far,32,2,,22,120,,0,698
SP-R_RB_Far,32,2,,23,150,,0,466
SP-R_RB_Far,32,2,,24,160,,0,417
SP-R_RB_Far,32,2,,25,80,,0,557
SP-R_RB_Far,32,2,,26,240,,1,524
SP-R_RB_Far,32,2,,27,220,,1,467
SP-R_RB_Far,32,2,,28,170,,1,429
SP-R_RB_Far,32,2,,29,130,,0,786
SP-R_RB_Far,32,2,,30,240,,1,568
SP-R_RB_Far,32,2,,31,180,,0,945
SP-R_RB_Far,32,2,,32,110,,0,606
SP-R_RB_Far,32,2,,33,90,,0,847
SP-R_RB_Far,32,2,,34,120,,0,524
SP-R_RB_Far,32,2,,35,140,,0,441
SP-R_RB_Far,32,2,,36,190,,0,2896
SP-R_RB_Far,32,2,,37,70,,0,1635
SP-R_RB_Far,32,2,,38,220,,1,2198
SP-R_RB_Far,32,3,125.bmp,,,,,
SP-R_RB_Far,32,4,,1,225,,1,3861
SP-R_RB_Far,32,4,,2,56,,0,3946
SP-R_RB_Far,32,4,,3,19,,0,1089
SP-R_RB_Far,32,4,,4,115,,0,1466
SP-R_RB_Far,32,4,,5,155,,0,659
SP-R_RB_Far,32,4,,6,20,,0,1133
SP-R_RB_Far,32,4,,7,58,,0,383
SP-R_RB_Far,32,4,,8,117,,0,567
SP-R_RB_Far,32,4,,9,248,,1,2852
SP-R_RB_Far,32,4,,10,164,,0,1229
SP-R_RB_Far,32,4,,11,166,,0,1098
SP-R_RB_Far,32,4,,12,289,,0,799
SP-R_RB_Far,32,4,,13,3,,0,1125
SP-R_RB_Far,32,4,,14,170,,0,1695
SP-R_RB_Far,32,4,,15,220,,1,1006
SP-R_RB_Far,32,4,,16,158,,0,990
SP-R_RB_Far,32,4,,17,27,,0,894
SP-R_RB_Far,32,4,,18,8,,0,844
SP-R_RB_Far,32,4,,19,187,,0,1422
SP-R_RB_Far,32,4,,20,103,,0,1315
SP-R_RB_Far,32,4,,21,86,,0,1036
SP-R_RB_Far,32,4,,22,49,,0,1159
SP-R_RB_Far,32,4,,23,120,,0,1341
SP-R_RB_Far,32,4,,24,284,,1,1018
SP-R_RB_Far,32,4,,25,84,,0,1807
SP-R_RB_Far,32,4,,26,12,,0,1241
SP-R_RB_Far,32,4,,27,50,,0,1069
SP-R_RB_Far,32,4,,28,278,,1,782
SP-R_RB_Far,32,4,,29,5,,0,837
SP-R_RB_Far,32,4,,30,195,,1,2236
SP-R_RB_Far,32,4,,31,95,,0,715
SP-R_RB_Far,32,4,,32,191,,1,1177
SP-R_RB_Far,32,4,,33,280,,1,1766
SP-R_RB_Far,32,4,,34,238,,1,918
SP-R_RB_Far,32,4,,35,112,,0,843
SP-R_RB_Far,32,4,,36,175,,0,1582
SP-R_RB_Far,32,4,,37,37,,0,943
SP-R_RB_Far,32,4,,38,275,,1,695
SP-R_RB_Far,32,4,,39,63,,0,706
SP-R_RB_Far,32,4,,40,268,,1,700
SP-R_RB_Far,32,4,,41,38,,0,831
SP-R_RB_Far,32,4,,42,174,,0,931
SP-R_RB_Far,32,4,,43,295,,1,593
SP-R_RB_Far,32,4,,44,129,,0,797
SP-R_RB_Far,32,4,,45,90,,0,758
SP-R_RB_Far,32,4,,46,82,,0,811
SP-R_RB_Far,32,4,,47,282,,1,760
SP-R_RB_Far,32,4,,48,240,,1,864
SP-R_RB_Far,32,4,,49,85,,0,1204
SP-R_RB_Far,32,4,,50,297,,1,700
SP-R_RB_Far,32,4,,51,239,,1,622
SP-R_RB_Far,32,4,,52,251,,1,822
SP-R_RB_Far,32,4,,53,286,,1,653
SP-R_RB_Far,32,4,,54,25,,0,855
SP-R_RB_Far,32,4,,55,230,,1,806
SP-R_RB_Far,32,4,,56,88,,0,621
SP-R_RB_Far,32,4,,57,212,,1,5551
SP-R_RB_Far,32,4,,58,168,,0,1790
SP-R_RB_Far,32,4,,59,48,,0,1259
SP-R_RB_Far,32,4,,60,233,,1,631
SP-R_RB_Far,32,4,,61,299,,1,980
SP-R_RB_Far,32,4,,62,178,,0,1249
SP-R_RB_Far,32,4,,63,159,,0,1108
SP-R_RB_Far,32,4,,64,211,,1,1140
SP-R_RB_Far,32,4,,65,67,,0,696
SP-R_RB_Far,32,4,,66,64,,0,1426
SP-R_RB_Far,32,4,,67,217,,1,908
SP-R_RB_Far,32,4,,68,109,,0,806
SP-R_RB_Far,32,4,,69,222,,1,642
SP-R_RB_Far,32,4,,70,234,,1,665
SP-R_RB_Far,32,4,,71,272,,1,825
SP-R_RB_Far,32,4,,72,83,,0,887
SP-R_RB_Far,32,4,,73,89,,0,898
SP-R_RB_Far,32,4,,74,107,,0,2845
SP-R_RB_Far,32,4,,75,200,,1,1496
SP-R_RB_Far,32,4,,76,293,,1,689
SP-R_RB_Far,32,4,,77,228,,1,901
SP-R_RB_Far,32,4,,78,261,,1,1093
SP-R_RB_Far,32,4,,79,29,,0,982
SP-R_RB_Far,32,4,,80,39,,0,840
SP-R_RB_Far,32,4,,81,274,,1,846
SP-R_RB_Far,32,4,,82,152,,0,762
SP-R_RB_Far,32,4,,83,160,,0,996
SP-R_RB_Far,32,4,,84,188,,0,827
SP-R_RB_Far,32,4,,85,4,,0,920
SP-R_RB_Far,32,4,,86,237,,1,1594
SP-R_RB_Far,32,4,,87,28,,0,618
SP-R_RB_Far,32,4,,88,156,,0,1085
SP-R_RB_Far,32,4,,89,232,,1,580
SP-R_RB_Far,32,4,,90,161,,0,972
SP-R_RB_Far,32,4,,91,180,,1,1546
SP-R_RB_Far,32,4,,92,287,,1,707
SP-R_RB_Far,32,4,,93,59,,0,738
SP-R_RB_Far,32,4,,94,260,,1,776
SP-R_RB_Far,32,4,,95,157,,0,1240
SP-R_RB_Far,32,4,,96,72,,0,1135
SP-R_RB_Far,32,4,,97,17,,0,911
SP-R_RB_Far,32,4,,98,135,,0,673
SP-R_RB_Far,32,4,,99,69,,0,864
SP-R_RB_Far,32,4,,100,249,,1,640
SP-R_RB_Far,32,4,,101,192,,0,1185
SP-R_RB_Far,32,4,,102,31,,0,832
SP-R_RB_Far,32,4,,103,147,,0,922
SP-R_RB_Far,32,4,,104,193,,1,780
SP-R_RB_Far,32,4,,105,100,,0,2078
SP-R_RB_Far,32,4,,106,269,,1,836
SP-R_RB_Far,32,4,,107,291,,1,628
SP-R_RB_Far,32,4,,108,209,,1,720
SP-R_RB_Far,32,4,,109,153,,0,844
SP-R_RB_Far,32,4,,110,47,,0,777
SP-R_RB_Far,32,4,,111,43,,0,778
SP-R_RB_Far,32,4,,112,111,,0,910
SP-R_RB_Far,32,4,,113,123,,0,658
SP-R_RB_Far,32,4,,114,277,,1,761
SP-R_RB_Far,32,4,,115,22,,0,1059
SP-R_RB_Far,32,4,,116,257,,1,1297
SP-R_RB_Far,32,4,,117,198,,1,1383
SP-R_RB_Far,32,4,,118,93,,0,1347
SP-R_RB_Far,32,4,,119,62,,0,4644
SP-R_RB_Far,32,4,,120,97,,1,756
SP-R_RB_Far,32,4,,121,145,,1,1150
SP-R_RB_Far,32,4,,122,104,,1,902
SP-R_RB_Far,32,4,,123,247,,1,788
SP-R_RB_Far,32,4,,124,23,,0,944
SP-R_RB_Far,32,4,,125,81,,1,1760
SP-R_RB_Far,32,4,,126,11,,0,872
SP-R_RB_Far,32,4,,127,139,,1,761
SP-R_RB_Far,32,4,,128,229,,1,873
SP-R_RB_Far,32,4,,129,204,,1,892
SP-R_RB_Far,32,4,,130,65,,1,810
SP-R_RB_Far,32,4,,131,183,,1,873
SP-R_RB_Far,32,4,,132,76,,1,835
SP-R_RB_Far,32,4,,133,258,,1,1093
SP-R_RB_Far,32,4,,134,114,,1,865
SP-R_RB_Far,32,4,,135,41,,1,1098
SP-R_RB_Far,32,4,,136,44,,1,861
SP-R_RB_Far,32,4,,137,110,,0,495
SP-R_RB_Far,32,4,,138,74,,0,1386
SP-R_RB_Far,32,4,,139,214,,1,704
SP-R_RB_Far,32,4,,140,121,,0,969
SP-R_RB_Far,32,4,,141,87,,1,1237
SP-R_RB_Far,32,4,,142,15,,0,771
SP-R_RB_Far,32,4,,143,194,,1,808
SP-R_RB_Far,32,4,,144,70,,1,1345
SP-R_RB_Far,32,4,,145,124,,1,1457
SP-R_RB_Far,32,4,,146,144,,1,1042
SP-R_RB_Far,32,4,,147,241,,1,719
SP-R_RB_Far,32,4,,148,105,,1,1046
SP-R_RB_Far,32,4,,149,203,,1,670
SP-R_RB_Far,32,4,,150,167,,0,1772
SP-R_RB_Far,32,4,,151,189,,1,648
SP-R_RB_Far,32,4,,152,253,,1,880
SP-R_RB_Far,32,4,,153,79,,1,780
SP-R_RB_Far,32,4,,154,13,,0,1071
SP-R_RB_Far,32,4,,155,80,,1,1499
SP-R_RB_Far,32,4,,156,218,,1,593
SP-R_RB_Far,32,4,,157,30,,0,889
SP-R_RB_Far,32,4,,158,252,,1,991
SP-R_RB_Far,32,4,,159,138,,1,1033
SP-R_RB_Far,32,4,,160,52,,0,798
SP-R_RB_Far,32,4,,161,292,,1,888
SP-R_RB_Far,32,4,,162,42,,0,870
SP-R_RB_Far,32,4,,163,0,,0,1145
SP-R_RB_Far,32,4,,164,128,,1,1206
SP-R_RB_Far,32,4,,165,254,,1,610
SP-R_RB_Far,32,4,,166,172,,1,1020
SP-R_RB_Far,32,4,,167,186,,1,744
SP-R_RB_Far,32,4,,168,98,,0,1090
SP-R_RB_Far,32,4,,169,273,,1,1082
SP-R_RB_Far,32,4,,170,71,,0,1121
SP-R_RB_Far,32,4,,171,150,,1,1124
SP-R_RB_Far,32,4,,172,276,,1,566
SP-R_RB_Far,32,4,,173,256,,1,496
SP-R_RB_Far,32,4,,174,219,,1,619
SP-R_RB_Far,32,4,,175,53,,0,864
SP-R_RB_Far,32,4,,176,92,,0,2463
SP-R_RB_Far,32,4,,177,7,,0,885
SP-R_RB_Far,32,4,,178,94,,0,909
SP-R_RB_Far,32,4,,179,226,,1,1340
SP-R_RB_Far,32,4,,180,290,,1,547
SP-R_RB_Far,32,4,,181,118,,1,743
SP-R_RB_Far,32,4,,182,236,,1,626
SP-R_RB_Far,32,4,,183,288,,1,525
SP-R_RB_Far,32,4,,184,146,,1,731
SP-R_RB_Far,32,4,,185,199,,1,956
SP-R_RB_Far,32,4,,186,196,,1,547
SP-R_RB_Far,32,4,,187,9,,0,962
SP-R_RB_Far,32,4,,188,140,,1,823
SP-R_RB_Far,32,4,,189,134,,1,732
SP-R_RB_Far,32,4,,190,108,,1,1457
SP-R_RB_Far,32,4,,191,75,,0,927
SP-R_RB_Far,32,4,,192,57,,1,1226
SP-R_RB_Far,32,4,,193,210,,1,835
SP-R_RB_Far,32,4,,194,24,,0,1018
SP-R_RB_Far,32,4,,195,262,,1,482
SP-R_RB_Far,32,4,,196,21,,0,716
SP-R_RB_Far,32,4,,197,179,,1,1124
SP-R_RB_Far,32,4,,198,182,,1,544
