C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_RB_Far-48-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Far,48,1,,1,130,,0,1982
SP-R_RB_Far,48,1,,2,130,,1,774
SP-R_RB_Far,48,1,,3,130,,1,642
SP-R_RB_Far,48,1,,4,130,,1,493
SP-R_RB_Far,48,1,,5,270,,1,1085
SP-R_RB_Far,48,1,,6,270,,1,507
SP-R_RB_Far,48,1,,7,270,,1,541
SP-R_RB_Far,48,1,,8,270,,1,455
SP-R_RB_Far,48,1,,9,130,,1,527
SP-R_RB_Far,48,1,,10,270,,1,434
SP-R_RB_Far,48,1,,11,130,,1,602
SP-R_RB_Far,48,1,,12,270,,1,422
SP-R_RB_Far,48,1,,13,130,,1,507
SP-R_RB_Far,48,1,,14,270,,1,450
SP-R_RB_Far,48,1,,15,130,,1,403
SP-R_RB_Far,48,1,,16,270,,1,402
SP-R_RB_Far,48,1,,17,270,,1,448
SP-R_RB_Far,48,1,,18,270,,1,390
SP-R_RB_Far,48,1,,19,130,,1,523
SP-R_RB_Far,48,1,,20,130,,1,340
SP-R_RB_Far,48,2,,1,210,,1,1637
SP-R_RB_Far,48,2,,2,190,,0,750
SP-R_RB_Far,48,2,,3,200,,0,541
SP-R_RB_Far,48,2,,4,220,,1,481
SP-R_RB_Far,48,2,,5,240,,1,562
SP-R_RB_Far,48,2,,6,170,,0,1012
SP-R_RB_Far,48,2,,7,230,,1,637
SP-R_RB_Far,48,2,,8,120,,0,534
SP-R_RB_Far,48,2,,9,80,,0,659
SP-R_RB_Far,48,2,,10,130,,0,611
SP-R_RB_Far,48,2,,11,130,,0,505
SP-R_RB_Far,48,2,,12,170,,0,1091
SP-R_RB_Far,48,2,,13,150,,0,510
SP-R_RB_Far,48,2,,14,190,,0,489
SP-R_RB_Far,48,2,,15,200,,0,1525
SP-R_RB_Far,48,2,,16,240,,1,616
SP-R_RB_Far,48,2,,17,210,,1,617
SP-R_RB_Far,48,2,,18,90,,0,522
SP-R_RB_Far,48,2,,19,180,,0,1188
SP-R_RB_Far,48,2,,20,110,,0,644
SP-R_RB_Far,48,2,,21,100,,0,461
SP-R_RB_Far,48,2,,22,120,,0,489
SP-R_RB_Far,48,2,,23,60,,0,400
SP-R_RB_Far,48,2,,24,230,,1,460
SP-R_RB_Far,48,2,,25,70,,0,429
