C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_RB_Mid-31-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Mid,31,1,,1,130,,0,5687
SP-R_RB_Mid,31,1,,2,130,,1,972
SP-R_RB_Mid,31,1,,3,270,,0,997
SP-R_RB_Mid,31,1,,4,270,,0,2174
SP-R_RB_Mid,31,1,,5,270,,1,863
SP-R_RB_Mid,31,1,,6,130,,0,1033
SP-R_RB_Mid,31,1,,7,130,,1,5318
SP-R_RB_Mid,31,1,,8,270,,1,2523
SP-R_RB_Mid,31,1,,9,270,,1,1288
SP-R_RB_Mid,31,1,,10,130,,1,2218
SP-R_RB_Mid,31,1,,11,130,,1,965
SP-R_RB_Mid,31,1,,12,270,,1,1705
SP-R_RB_Mid,31,1,,13,130,,1,1207
SP-R_RB_Mid,31,1,,14,130,,1,938
SP-R_RB_Mid,31,1,,15,270,,1,1039
SP-R_RB_Mid,31,1,,16,270,,1,1296
SP-R_RB_Mid,31,1,,17,270,,1,685
SP-R_RB_Mid,31,1,,18,130,,1,444
SP-R_RB_Mid,31,1,,19,130,,1,841
SP-R_RB_Mid,31,1,,20,270,,1,665
SP-R_RB_Mid,31,2,,1,110,,0,4275
SP-R_RB_Mid,31,2,,2,160,,1,808
SP-R_RB_Mid,31,2,,3,100,,0,675
SP-R_RB_Mid,31,2,,4,200,,1,578
SP-R_RB_Mid,31,2,,5,220,,1,1114
SP-R_RB_Mid,31,2,,6,160,,0,624
SP-R_RB_Mid,31,2,,7,230,,1,753
SP-R_RB_Mid,31,2,,8,170,,0,490
SP-R_RB_Mid,31,2,,9,130,,0,810
SP-R_RB_Mid,31,2,,10,80,,0,550
SP-R_RB_Mid,31,2,,11,60,,0,729
SP-R_RB_Mid,31,2,,12,70,,0,631
SP-R_RB_Mid,31,2,,13,180,,1,553
SP-R_RB_Mid,31,2,,14,190,,1,515
SP-R_RB_Mid,31,2,,15,240,,1,597
SP-R_RB_Mid,31,2,,16,130,,0,601
SP-R_RB_Mid,31,2,,17,220,,1,543
SP-R_RB_Mid,31,2,,18,140,,0,391
SP-R_RB_Mid,31,2,,19,150,,1,398
SP-R_RB_Mid,31,2,,20,60,,0,1759
SP-R_RB_Mid,31,2,,21,100,,0,833
SP-R_RB_Mid,31,2,,22,150,,0,1092
SP-R_RB_Mid,31,2,,23,120,,0,656
SP-R_RB_Mid,31,2,,24,210,,1,536
SP-R_RB_Mid,31,2,,25,80,,0,655
SP-R_RB_Mid,31,2,,26,200,,1,647
SP-R_RB_Mid,31,2,,27,140,,0,604
SP-R_RB_Mid,31,2,,28,230,,1,743
SP-R_RB_Mid,31,2,,29,70,,0,870
SP-R_RB_Mid,31,2,,30,190,,1,683
SP-R_RB_Mid,31,2,,31,210,,1,630
SP-R_RB_Mid,31,2,,32,120,,0,710
SP-R_RB_Mid,31,2,,33,170,,1,806
SP-R_RB_Mid,31,2,,34,90,,0,672
SP-R_RB_Mid,31,2,,35,90,,0,971
SP-R_RB_Mid,31,2,,36,180,,0,3037
SP-R_RB_Mid,31,2,,37,110,,0,627
SP-R_RB_Mid,31,2,,38,240,,1,718
SP-R_RB_Mid,31,3,150.bmp,,,,,
SP-R_RB_Mid,31,4,,1,147,,0,5883
SP-R_RB_Mid,31,4,,2,37,,0,1956
SP-R_RB_Mid,31,4,,3,95,,0,1170
SP-R_RB_Mid,31,4,,4,130,,0,5523
SP-R_RB_Mid,31,4,,5,295,,1,1534
SP-R_RB_Mid,31,4,,6,2,,0,1548
SP-R_RB_Mid,31,4,,7,3,,0,1370
SP-R_RB_Mid,31,4,,8,218,,1,1485
SP-R_RB_Mid,31,4,,9,300,,1,6910
SP-R_RB_Mid,31,4,,10,177,,1,1403
SP-R_RB_Mid,31,4,,11,219,,1,889
SP-R_RB_Mid,31,4,,12,224,,1,966
SP-R_RB_Mid,31,4,,13,292,,1,1231
SP-R_RB_Mid,31,4,,14,264,,1,900
SP-R_RB_Mid,31,4,,15,9,,0,1628
SP-R_RB_Mid,31,4,,16,55,,0,2433
SP-R_RB_Mid,31,4,,17,231,,1,1569
SP-R_RB_Mid,31,4,,18,135,,0,4473
SP-R_RB_Mid,31,4,,19,230,,1,3765
SP-R_RB_Mid,31,4,,20,22,,0,1487
SP-R_RB_Mid,31,4,,21,277,,1,1012
SP-R_RB_Mid,31,4,,22,35,,0,3925
SP-R_RB_Mid,31,4,,23,54,,0,898
SP-R_RB_Mid,31,4,,24,6,,0,941
SP-R_RB_Mid,31,4,,25,227,,1,2034
SP-R_RB_Mid,31,4,,26,21,,0,1920
SP-R_RB_Mid,31,4,,27,165,,0,3159
SP-R_RB_Mid,31,4,,28,74,,0,2612
SP-R_RB_Mid,31,4,,29,69,,0,880
SP-R_RB_Mid,31,4,,30,280,,1,1438
SP-R_RB_Mid,31,4,,31,267,,1,1250
SP-R_RB_Mid,31,4,,32,131,,0,1814
SP-R_RB_Mid,31,4,,33,274,,1,3440
SP-R_RB_Mid,31,4,,34,189,,1,1620
SP-R_RB_Mid,31,4,,35,149,,0,6669
SP-R_RB_Mid,31,4,,36,284,,1,2178
SP-R_RB_Mid,31,4,,37,176,,0,4517
SP-R_RB_Mid,31,4,,38,234,,1,5544
SP-R_RB_Mid,31,4,,39,188,,1,3494
SP-R_RB_Mid,31,4,,40,256,,1,993
SP-R_RB_Mid,31,4,,41,207,,1,2284
SP-R_RB_Mid,31,4,,42,60,,0,1106
SP-R_RB_Mid,31,4,,43,240,,1,985
SP-R_RB_Mid,31,4,,44,220,,1,6478
SP-R_RB_Mid,31,4,,45,83,,0,1010
SP-R_RB_Mid,31,4,,46,39,,0,1962
SP-R_RB_Mid,31,4,,47,182,,1,5167
SP-R_RB_Mid,31,4,,48,91,,0,3839
SP-R_RB_Mid,31,4,,49,181,,0,9403
SP-R_RB_Mid,31,4,,50,94,,0,5745
SP-R_RB_Mid,31,4,,51,191,,1,1523
SP-R_RB_Mid,31,4,,52,62,,0,1107
SP-R_RB_Mid,31,4,,53,44,,0,694
SP-R_RB_Mid,31,4,,54,216,,1,774
SP-R_RB_Mid,31,4,,55,57,,0,2271
SP-R_RB_Mid,31,4,,56,171,,0,4986
SP-R_RB_Mid,31,4,,57,43,,0,3243
SP-R_RB_Mid,31,4,,58,203,,1,951
SP-R_RB_Mid,31,4,,59,66,,0,4109
SP-R_RB_Mid,31,4,,60,87,,0,933
SP-R_RB_Mid,31,4,,61,34,,0,858
SP-R_RB_Mid,31,4,,62,121,,0,1428
SP-R_RB_Mid,31,4,,63,101,,0,1282
SP-R_RB_Mid,31,4,,64,77,,0,1013
SP-R_RB_Mid,31,4,,65,122,,0,1572
SP-R_RB_Mid,31,4,,66,187,,1,14563
SP-R_RB_Mid,31,4,,67,59,,0,1482
SP-R_RB_Mid,31,4,,68,272,,1,2603
SP-R_RB_Mid,31,4,,69,76,,0,1554
SP-R_RB_Mid,31,4,,70,23,,0,4027
