C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_RB_Mid-47-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Mid,47,1,,1,270,,1,4962
SP-R_RB_Mid,47,1,,2,270,,0,1856
SP-R_RB_Mid,47,1,,3,130,,1,1056
SP-R_RB_Mid,47,1,,4,130,,1,816
SP-R_RB_Mid,47,1,,5,130,,1,690
SP-R_RB_Mid,47,1,,6,270,,1,598
SP-R_RB_Mid,47,1,,7,270,,1,472
SP-R_RB_Mid,47,1,,8,270,,1,392
SP-R_RB_Mid,47,1,,9,130,,0,344
SP-R_RB_Mid,47,1,,10,130,,1,438
SP-R_RB_Mid,47,1,,11,130,,1,313
SP-R_RB_Mid,47,1,,12,270,,1,463
SP-R_RB_Mid,47,1,,13,270,,1,442
SP-R_RB_Mid,47,1,,14,270,,1,351
SP-R_RB_Mid,47,1,,15,130,,1,352
SP-R_RB_Mid,47,1,,16,130,,1,335
SP-R_RB_Mid,47,1,,17,130,,1,306
SP-R_RB_Mid,47,1,,18,130,,1,340
SP-R_RB_Mid,47,1,,19,270,,1,422
SP-R_RB_Mid,47,1,,20,270,,1,339
SP-R_RB_Mid,47,2,,1,100,,0,976
SP-R_RB_Mid,47,2,,2,110,,0,515
SP-R_RB_Mid,47,2,,3,240,,1,484
SP-R_RB_Mid,47,2,,4,100,,0,423
SP-R_RB_Mid,47,2,,5,230,,1,559
SP-R_RB_Mid,47,2,,6,150,,0,624
SP-R_RB_Mid,47,2,,7,80,,0,415
SP-R_RB_Mid,47,2,,8,130,,0,651
SP-R_RB_Mid,47,2,,9,120,,0,496
SP-R_RB_Mid,47,2,,10,160,,0,1045
SP-R_RB_Mid,47,2,,11,220,,1,432
SP-R_RB_Mid,47,2,,12,120,,0,614
SP-R_RB_Mid,47,2,,13,90,,0,452
SP-R_RB_Mid,47,2,,14,200,,1,673
SP-R_RB_Mid,47,2,,15,70,,0,418
SP-R_RB_Mid,47,2,,16,170,,0,679
SP-R_RB_Mid,47,2,,17,60,,0,441
SP-R_RB_Mid,47,2,,18,230,,1,529
SP-R_RB_Mid,47,2,,19,220,,1,416
SP-R_RB_Mid,47,2,,20,240,,1,478
SP-R_RB_Mid,47,2,,21,110,,0,489
SP-R_RB_Mid,47,2,,22,130,,0,495
SP-R_RB_Mid,47,2,,23,140,,0,428
SP-R_RB_Mid,47,2,,24,190,,0,1611
SP-R_RB_Mid,47,2,,25,180,,0,743
SP-R_RB_Mid,47,2,,26,160,,0,395
SP-R_RB_Mid,47,2,,27,150,,0,315
SP-R_RB_Mid,47,2,,28,60,,0,508
SP-R_RB_Mid,47,2,,29,210,,1,722
SP-R_RB_Mid,47,2,,30,140,,0,460
SP-R_RB_Mid,47,2,,31,80,,0,423
SP-R_RB_Mid,47,2,,32,190,,1,955
SP-R_RB_Mid,47,2,,33,200,,1,583
SP-R_RB_Mid,47,2,,34,90,,0,492
SP-R_RB_Mid,47,2,,35,170,,1,490
SP-R_RB_Mid,47,2,,36,180,,1,370
SP-R_RB_Mid,47,2,,37,70,,0,474
SP-R_RB_Mid,47,2,,38,210,,1,380
SP-R_RB_Mid,47,3,77.bmp,,,,,
SP-R_RB_Mid,47,4,,1,87,,0,3724
SP-R_RB_Mid,47,4,,2,163,,0,1585
SP-R_RB_Mid,47,4,,3,275,,1,2313
SP-R_RB_Mid,47,4,,4,61,,0,1432
SP-R_RB_Mid,47,4,,5,292,,1,753
SP-R_RB_Mid,47,4,,6,207,,1,914
SP-R_RB_Mid,47,4,,7,104,,0,675
SP-R_RB_Mid,47,4,,8,252,,1,571
SP-R_RB_Mid,47,4,,9,29,,0,686
SP-R_RB_Mid,47,4,,10,48,,0,661
SP-R_RB_Mid,47,4,,11,293,,1,511
SP-R_RB_Mid,47,4,,12,248,,1,1741
SP-R_RB_Mid,47,4,,13,4,,0,728
SP-R_RB_Mid,47,4,,14,77,,0,567
SP-R_RB_Mid,47,4,,15,166,,0,818
SP-R_RB_Mid,47,4,,16,272,,1,480
SP-R_RB_Mid,47,4,,17,218,,1,686
SP-R_RB_Mid,47,4,,18,266,,1,514
SP-R_RB_Mid,47,4,,19,35,,0,493
SP-R_RB_Mid,47,4,,20,294,,1,486
SP-R_RB_Mid,47,4,,21,287,,0,438
SP-R_RB_Mid,47,4,,22,181,,0,737
SP-R_RB_Mid,47,4,,23,123,,0,631
SP-R_RB_Mid,47,4,,24,88,,0,450
SP-R_RB_Mid,47,4,,25,219,,1,549
SP-R_RB_Mid,47,4,,26,257,,1,582
SP-R_RB_Mid,47,4,,27,99,,0,578
SP-R_RB_Mid,47,4,,28,162,,0,1565
SP-R_RB_Mid,47,4,,29,52,,0,648
SP-R_RB_Mid,47,4,,30,291,,1,518
SP-R_RB_Mid,47,4,,31,251,,1,462
SP-R_RB_Mid,47,4,,32,109,,0,494
SP-R_RB_Mid,47,4,,33,215,,1,423
SP-R_RB_Mid,47,4,,34,28,,0,433
SP-R_RB_Mid,47,4,,35,150,,0,538
SP-R_RB_Mid,47,4,,36,25,,0,510
SP-R_RB_Mid,47,4,,37,15,,0,474
SP-R_RB_Mid,47,4,,38,54,,0,491
SP-R_RB_Mid,47,4,,39,269,,1,520
SP-R_RB_Mid,47,4,,40,146,,1,538
SP-R_RB_Mid,47,4,,41,21,,0,456
SP-R_RB_Mid,47,4,,42,11,,0,736
SP-R_RB_Mid,47,4,,43,213,,1,807
SP-R_RB_Mid,47,4,,44,37,,0,941
SP-R_RB_Mid,47,4,,45,193,,1,815
SP-R_RB_Mid,47,4,,46,132,,0,2795
SP-R_RB_Mid,47,4,,47,127,,0,474
SP-R_RB_Mid,47,4,,48,33,,0,357
SP-R_RB_Mid,47,4,,49,214,,1,549
SP-R_RB_Mid,47,4,,50,283,,1,552
SP-R_RB_Mid,47,4,,51,227,,1,454
SP-R_RB_Mid,47,4,,52,189,,1,807
SP-R_RB_Mid,47,4,,53,92,,0,389
SP-R_RB_Mid,47,4,,54,34,,0,381
SP-R_RB_Mid,47,4,,55,44,,0,361
SP-R_RB_Mid,47,4,,56,76,,0,383
SP-R_RB_Mid,47,4,,57,58,,0,330
SP-R_RB_Mid,47,4,,58,191,,1,851
SP-R_RB_Mid,47,4,,59,103,,0,1159
SP-R_RB_Mid,47,4,,60,182,,1,713
SP-R_RB_Mid,47,4,,61,160,,1,228
SP-R_RB_Mid,47,4,,62,8,,0,554
SP-R_RB_Mid,47,4,,63,45,,0,504
SP-R_RB_Mid,47,4,,64,100,,0,496
SP-R_RB_Mid,47,4,,65,245,,1,547
SP-R_RB_Mid,47,4,,66,156,,0,463
SP-R_RB_Mid,47,4,,67,274,,1,516
SP-R_RB_Mid,47,4,,68,249,,1,560
SP-R_RB_Mid,47,4,,69,226,,1,423
SP-R_RB_Mid,47,4,,70,241,,1,405
SP-R_RB_Mid,47,4,,71,138,,0,441
SP-R_RB_Mid,47,4,,72,20,,0,555
SP-R_RB_Mid,47,4,,73,14,,0,599
SP-R_RB_Mid,47,4,,74,234,,1,547
SP-R_RB_Mid,47,4,,75,117,,0,445
SP-R_RB_Mid,47,4,,76,141,,0,418
SP-R_RB_Mid,47,4,,77,71,,0,337
SP-R_RB_Mid,47,4,,78,242,,1,504
SP-R_RB_Mid,47,4,,79,126,,0,554
SP-R_RB_Mid,47,4,,80,23,,0,490
SP-R_RB_Mid,47,4,,81,267,,1,628
SP-R_RB_Mid,47,4,,82,80,,0,449
SP-R_RB_Mid,47,4,,83,139,,0,409
SP-R_RB_Mid,47,4,,84,67,,0,403
SP-R_RB_Mid,47,4,,85,296,,1,636
SP-R_RB_Mid,47,4,,86,230,,1,494
SP-R_RB_Mid,47,4,,87,170,,0,628
SP-R_RB_Mid,47,4,,88,30,,0,524
SP-R_RB_Mid,47,4,,89,299,,1,506
SP-R_RB_Mid,47,4,,90,169,,0,553
SP-R_RB_Mid,47,4,,91,46,,0,490
SP-R_RB_Mid,47,4,,92,201,,1,384
SP-R_RB_Mid,47,4,,93,32,,0,390
SP-R_RB_Mid,47,4,,94,239,,0,344
SP-R_RB_Mid,47,4,,95,268,,1,625
SP-R_RB_Mid,47,4,,96,122,,0,503
SP-R_RB_Mid,47,4,,97,51,,0,533
SP-R_RB_Mid,47,4,,98,231,,1,549
SP-R_RB_Mid,47,4,,99,86,,0,418
SP-R_RB_Mid,47,4,,100,149,,0,752
SP-R_RB_Mid,47,4,,101,140,,0,433
SP-R_RB_Mid,47,4,,102,165,,0,385
SP-R_RB_Mid,47,4,,103,198,,0,364
SP-R_RB_Mid,47,4,,104,93,,0,559
SP-R_RB_Mid,47,4,,105,212,,1,412
SP-R_RB_Mid,47,4,,106,142,,0,636
SP-R_RB_Mid,47,4,,107,115,,0,482
SP-R_RB_Mid,47,4,,108,9,,0,481
SP-R_RB_Mid,47,4,,109,171,,0,987
SP-R_RB_Mid,47,4,,110,31,,0,544
SP-R_RB_Mid,47,4,,111,75,,0,464
SP-R_RB_Mid,47,4,,112,263,,1,573
SP-R_RB_Mid,47,4,,113,154,,0,510
SP-R_RB_Mid,47,4,,114,172,,0,437
SP-R_RB_Mid,47,4,,115,184,,0,387
SP-R_RB_Mid,47,4,,116,202,,0,480
SP-R_RB_Mid,47,4,,117,254,,1,708
SP-R_RB_Mid,47,4,,118,39,,0,525
SP-R_RB_Mid,47,4,,119,22,,0,452
SP-R_RB_Mid,47,4,,120,261,,1,575
SP-R_RB_Mid,47,4,,121,174,,0,668
SP-R_RB_Mid,47,4,,122,5,,0,506
SP-R_RB_Mid,47,4,,123,83,,0,1612
SP-R_RB_Mid,47,4,,124,82,,0,589
SP-R_RB_Mid,47,4,,125,173,,0,652
SP-R_RB_Mid,47,4,,126,208,,1,774
SP-R_RB_Mid,47,4,,127,157,,0,647
SP-R_RB_Mid,47,4,,128,41,,0,615
SP-R_RB_Mid,47,4,,129,68,,0,419
SP-R_RB_Mid,47,4,,130,195,,1,604
