Oord,Sord,AxLab,FarSource,SID,ExperimentName,Phase,Subject,Pic,Trial,Question,Rating,FaceDist
12131,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Adam.bmp,NA,Know,50,Close
12132,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Mark.bmp,NA,Know,54,Far
12151,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Adam.bmp,NA,Acc,50,Close
12152,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Mark.bmp,NA,Acc,50,Far
12171,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Adam.bmp,NA,Trust,26,Close
12172,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Mark.bmp,NA,Trust,28,Far
12191,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Adam.bmp,NA,Attract,64,Close
12192,H,SP-C,C,SP-C_C1,SP-C_Ctrl_Final1,Rating,1,Mark.bmp,NA,Attract,14,Far
12149,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Adam.bmp,NA,Know,39,Far
12150,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Mark.bmp,NA,Know,45,Close
12169,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Adam.bmp,NA,Acc,59,Far
12170,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Mark.bmp,NA,Acc,59,Close
12189,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Adam.bmp,NA,Trust,42,Far
12190,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Mark.bmp,NA,Trust,53,Close
12209,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Adam.bmp,NA,Attract,35,Far
12210,H,SP-C,C,SP-C_C10,SP-C_Ctrl_Final1,Rating,10,Mark.bmp,NA,Attract,45,Close
12133,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Adam.bmp,NA,Know,11,Far
12134,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Mark.bmp,NA,Know,20,Close
12153,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Adam.bmp,NA,Acc,17,Far
12154,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Mark.bmp,NA,Acc,13,Close
12173,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Adam.bmp,NA,Trust,19,Far
12174,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Mark.bmp,NA,Trust,10,Close
12193,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Adam.bmp,NA,Attract,29,Far
12194,H,SP-C,C,SP-C_C2,SP-C_Ctrl_Final1,Rating,2,Mark.bmp,NA,Attract,36,Close
