SID,B1,B2,B3,B4,B5,B6,Group.1,All
SP-C_L1,0.48,0.52,0.52,0.36,0.431372549019608,0.5,SP-C_L1,0.46843853820598
SP-C_L10,0.58,0.54,0.34,0.42,0.470588235294118,0.32,SP-C_L10,0.445182724252492
SP-C_L2,0.44,0.4,0.54,0.46,0.823529411764706,0.8,SP-C_L2,0.578073089700997
SP-C_L3,0.52,0.38,0.12,0.26,0.137254901960784,0.1,SP-C_L3,0.252491694352159
SP-C_L4,0.52,0.48,0.46,0.46,0.470588235294118,0.42,SP-C_L4,0.46843853820598
SP-C_L5,0.36,0.44,0.48,0.56,0.549019607843137,0.54,SP-C_L5,0.488372093023256
SP-C_L6,0.44,0.6,0.54,0.52,0.470588235294118,0.4,SP-C_L6,0.495016611295681
SP-C_L7,0.58,0.38,0.5,0.32,0.215686274509804,0.48,SP-C_L7,0.411960132890365
SP-C_L8,0.58,0.66,0.52,0.66,0.588235294117647,0.64,SP-C_L8,0.60797342192691
SP-C_L9,0.44,0.4,0.68,0.88,0.823529411764706,0.54,SP-C_L9,0.627906976744186
SP-C_R1,0.52,0.52,0.52,0.52,0.450980392156863,0.54,SP-C_R1,0.511627906976744
SP-C_R10,0.4,0.5,0.74,0.2,0.725490196078431,0.48,SP-C_R10,0.508305647840532
SP-C_R2,0.48,0.38,0.5,0.42,0.509803921568627,0.48,SP-C_R2,0.461794019933555
SP-C_R3,0.34,0.54,0.5,0.44,0.450980392156863,0.54,SP-C_R3,0.46843853820598
SP-C_R4,0.46,0.46,0.46,0.48,0.411764705882353,0.64,SP-C_R4,0.485049833887043
SP-C_R5,0.92,0.96,1,0.96,0.980392156862745,0.96,SP-C_R5,0.963455149501661
SP-C_R6,0.42,0.56,0.46,0.54,0.549019607843137,0.48,SP-C_R6,0.501661129568106
SP-C_R7,0.54,0.46,0.6,0.54,0.490196078431373,0.56,SP-C_R7,0.53156146179402
SP-C_R8,0.68,0.98,0.54,0.52,0.588235294117647,0.88,SP-C_R8,0.697674418604651
SP-C_R9,0.98,0.96,1,1,1,1,SP-C_R9,0.990033222591362
SP-R_L1,0.52,0.94,0.48,0.58,0.529411764705882,0.48,SP-R_L1,0.588039867109635
SP-R_L10,0.82,1,0.96,0.98,0.96078431372549,0.98,SP-R_L10,0.950166112956811
SP-R_L2,0.46,0.46,0.46,0.56,0.490196078431373,0.36,SP-R_L2,0.465116279069767
SP-R_L3,0.58,0.56,0.5,0.66,0.686274509803922,0.26,SP-R_L3,0.541528239202658
SP-R_L4,0.72,0.64,0.58,0.54,0.588235294117647,0.52,SP-R_L4,0.598006644518272
SP-R_L6,0.82,1,0.94,0.96,0.901960784313726,0.9,SP-R_L6,0.920265780730897
SP-R_L7,0.46,0.44,0.54,0.58,0.372549019607843,0.42,SP-R_L7,0.46843853820598
SP-R_L8,0.74,0.98,0.96,0.42,0.431372549019608,0.68,SP-R_L8,0.700996677740864
SP-R_L9,0.86,0.82,0.88,0.98,0.784313725490196,1,SP-R_L9,0.887043189368771
SP-R_R1,0.7,0.26,0.84,0.44,0.647058823529412,0.46,SP-R_R1,0.558139534883721
SP-R_R2,0.48,0.48,0.36,0.04,0.392156862745098,0.52,SP-R_R2,0.378737541528239
SP-R_R3,0.48,0.1,0.12,0.26,0.235294117647059,0.22,SP-R_R3,0.235880398671096
SP-R_R4,0.5,0.56,0.42,0.48,0.450980392156863,0.6,SP-R_R4,0.501661129568106
SP-R_R5,0.66,0.6,0.54,0.58,0.450980392156863,0.48,SP-R_R5,0.551495016611296
SP-R_R6,0.62,0.48,0.44,0.5,0.450980392156863,0.36,SP-R_R6,0.475083056478405
SP-R_R7,0.62,0.5,0.42,0.5,0.529411764705882,0.46,SP-R_R7,0.504983388704319
SP-R_R8,0.5,0.5,0.6,0.58,0.470588235294118,0.58,SP-R_R8,0.538205980066445
SP-R_R9,0.56,0.42,0.62,0.54,0.450980392156863,0.58,SP-R_R9,0.528239202657807
